,ID RESTAURANT,GRADE,DBA,Latitude,Longitude,Exponential Smoothed Score,Probabilistic risk Score,Final Cluster,CUISINE DESCRIPTION
7649,50008334,A,COFFEE RX,40.63558854,-74.02608546,8.052387883,9.21451655,3,Coffee/Tea
7650,50008347,A,THE GREY DOG,40.72992661,-74.00373798,9.914227424,11.34505863,0,American
7651,50008350,A,BARTOLINO'S FINE ITALIAN PIZZA,40.76076556,-73.92281245,12.15097162,13.90461199,0,Pizza
7652,50008353,A,WAFELS & DINGES,40.75054191,-73.98754102,5.981411424,6.844654698,2,French
7653,50008409,A,CANTEEN M - CITIZEN M,40.76160567,-73.98452115,9.609620745,10.99649082,3,American
7654,50008413,A,CLOUD M,40.76160567,-73.98452115,2.816005309,3.22241401,1,American
7655,50008437,A,BLUE RIBBON,40.72552402,-74.00313522,8.259754615,9.451810655,1,American
7656,50008442,A,KULU DESSERTS,40.76067261,-73.83290426,7.959306812,9.108001926,3,Coffee/Tea
7657,50008446,A,DUNKIN,40.74039519,-73.89652182,4.470610084,5.115812999,1,American
7658,50008453,A,FRUITTI YUMMI FROZEN YOGURT,40.74987559,-73.86252307,10.82277233,12.38472565,1,Frozen Desserts
7659,50008496,A,LAND-O-FUN,40.58425155,-73.96001275,9.64567186,11.03774486,2,American
7660,50008504,A,TOSHKENT RESTAURANT,40.60167694,-74.00196622,8.99982295,10.29868639,2,Eastern European
7661,50008511,A,DUNKIN,40.59412366,-73.78896888,12.34776694,14.12980901,2,Donuts
7662,50008512,A,BAKERI,40.73422801,-73.95731359,14.28413421,16.34563473,0,Bakery Products/Desserts
7663,50008532,A,CONDE NAST,40.71327345,-74.01281992,10.27151998,11.75391601,1,American
7664,50008551,A,SAINT VITUS,40.7367689,-73.9553273,10.5747332,12.10088927,3,American
7665,50008557,A,TUSCAN HILLS,40.71920233,-73.8389538,12.43479966,14.22940238,0,Italian
7666,50008562,A,NRGIZE LIFE STYLE CAFE,40.84978213,-73.8434764,2.816005309,3.22241401,1,"Juice, Smoothies, Fruit Salads"
